?? CAMPANHAS DE MARKETING;;;;;
ID CAMPANHA ; CAMPANHA;CANAL;DATA INICIO;DATA FIM;BUDGET R$
1;Black Friday 2023;Meta Ads;27/02/2023;15/03/2023;R$ 20.000,00
2;Verão em Alta;E-mail Marketing;21/05/2023;20/06/2023;R$ 5.000,00
3;Lançamento Produto;SEO;13/03/2023;03/04/2023;R$ 20.000,00
4;Reativação Base;Influencer;07/10/2023;27/10/2023;R$ 15.000,00
5;Awareness Q1;LinkedIn Ads;05/08/2023;22/08/2023;R$ 3.000,00
6;Performance Q2;Google Ads;17/02/2023;17/03/2023;R$ 5.000,00
7;Branding Outono;Meta Ads;16/09/2023;08/11/2023;R$ 3.000,00
8;Conversão Direta;E-mail Marketing;15/10/2023;11/11/2023;R$ 20.000,00
9;Leads Qualificados;SEO;07/10/2023;17/11/2023;R$ 5.000,00
10;Remarketing Geral;Influencer;18/08/2023;09/10/2023;R$ 7.500,00
11;Campanha Natal;LinkedIn Ads;04/01/2023;29/01/2023;R$ 20.000,00
12;Promoção Aniversário;Google Ads;05/08/2023;10/09/2023;R$ 7.500,00
